COD_CARD	PRODUCT
0460202004099	tinned meat
0460202004099	tunny
0460202004099	mozzarella
0460202007021	milk
0460202033648	milk
0460202033648	coke
0460202033648	pasta
0460202033648	crackers
0460202033648	milk
0460202035871	water
0460202035871	water
0460202039190	tunny
0460501000020	crackers
0460501000020	milk
0460501000020	pasta
0460501000020	biscuits
0460501000020	pasta
0460501000020	biscuits
0460501000204	juices
0460501000204	milk
0460501000204	biscuits
0460501000303	pasta
0460501000723	oil
0460501000853	biscuits
0460501000853	biscuits
0460501001744	tinned meat
0460501001966	milk
0460501001966	coffee
0460501001966	pasta
0460501001966	pasta
0460501001980	tunny
0460501001980	milk
0460501001980	tomato souce
0460501001980	juices
0460501001980	pasta
0460501002017	milk
0460501002024	yoghurt
0460501002024	yoghurt
0460501002024	pasta
0460501002994	crackers
0460501002994	milk
0460501002994	biscuits
0460501002994	biscuits
0460501002994	brioches
0460501003038	pasta
0460501003052	milk
0460501003052	pasta
0460501003052	pasta
0460501003052	pasta
0460501003052	pasta
0460501003403	juices
0460501003403	coffee
0460501003403	pasta
0460501004578	brioches
0460501004578	juices
0460501004875	biscuits
0460501005131	pasta
0460501005476	milk
0460501005780	water
0460501005780	milk
0460501005780	coffee
0460501006008	pasta
0460501006077	coke
0460501006077	beer
0460501006572	milk
0460501006572	milk
0460501006572	pasta
0460501006572	pasta
0460501006718	biscuits
0460501006718	mozzarella
0460501007579	frozen vegetables
0460501007784	milk
0460501007784	pasta
0460501008033	rice
0460501008149	biscuits
0460501008149	crackers
0460501008149	pasta
0460501008392	milk
0460501008392	pasta
0460501008392	milk
0460501008392	frozen vegetables
0460501008392	pasta
0460501008392	pasta
0460501008392	pasta
0460501009597	yoghurt
0460501009597	milk
0460501009597	coffee
0460501010142	water
0460501010142	rice
0460501010142	tomato souce
0460501010524	milk
0460501010708	biscuits
0460501010951	milk
0460501010951	tunny
0460501010951	brioches
0460501011057	milk
0460501011057	tomato souce
0460501011057	pasta
0460501011057	pasta
0460501011057	pasta
0460501011057	crackers
0460501011217	milk
0460501011378	frozen vegetables
0460501011590	biscuits
0460501012443	milk
0460501012603	biscuits
0460501012603	oil
0460501012887	beer
0460501012986	yoghurt
0460501012986	yoghurt
0460501012986	pasta
0460501013082	coffee
0460501013815	biscuits
0460501013815	tomato souce
0460501013815	yoghurt
0460501013815	biscuits
0460501013891	rice
0460501013891	coffee
0460501013891	coffee
0460501013891	water
0460501013891	biscuits
0460501014140	water
0460501014140	rice
0460501014140	pasta
0460501014423	brioches
0460501014423	mozzarella
0460501014973	milk
0460501014973	tunny
0460501014973	tomato souce
0460501014973	water
0460501015086	milk
0460501015086	water
0460501015987	water
0460501015987	milk
0460501015987	milk
0460501015987	tunny
0460501015987	pasta
0460501015987	pasta
0460501015987	brioches
0460501015987	water
0460501016601	milk
0460501016601	biscuits
0460501016618	milk
0460501016724	pasta
0460501018360	frozen vegetables
0460501018360	frozen vegetables
0460501018360	milk
0460501018827	rice
0460501018827	milk
0460501018827	pasta
0460501019435	yoghurt
0460501019596	rice
0460501019596	milk
0460501019596	biscuits
0460501019596	biscuits
0460501021216	water
0460501021216	coke
0460501021216	milk
0460501021216	milk
0460501021216	coffee
0460501021216	tomato souce
0460501021230	water
0460501021230	yoghurt
0460501021230	coffee
0460501021230	milk
0460501021520	milk
0460501021575	coke
0460501021575	yoghurt
0460501022336	water
0460501022336	brioches
0460501022336	milk
0460501022336	crackers
0460501022336	milk
0460501022336	juices
0460501022336	pasta
0460501022336	pasta
0460501022336	pasta
0460501022336	pasta
0460501022336	yoghurt
0460501022381	crackers
0460501022565	milk
0460501022688	water
0460501022688	brioches
0460501022688	frozen vegetables
0460501022688	frozen vegetables
0460501022688	milk
0460501022688	milk
0460501022688	tunny
0460501022688	pasta
0460501022688	biscuits
0460501023111	biscuits
0460501023111	biscuits
0460501023500	water
0460501023500	pasta
0460501023500	pasta
0460501023777	milk
0460501023777	crackers
0460501024170	beer
0460501024170	coke
0460501024767	milk
0460501024767	pasta
0460501024767	water
0460501025030	biscuits
0460501025030	pasta
0460501025030	pasta
0460501025030	pasta
0460501025030	pasta
0460501025030	pasta
0460501025030	pasta
0460501025030	pasta
0460501026716	coke
0460501026716	water
0460501027300	beer
0460501027300	milk
0460501027300	mozzarella
0460501028499	milk
0460501028499	water
0460501029182	oil
0460501029182	milk
0460501030362	milk
0460501031413	beer
0460501032571	biscuits
0460501032571	milk
0460501032571	biscuits
0460501034889	biscuits
0460501034889	biscuits
0460501036098	coke
0460501036098	milk
0460501038221	milk
0460501038221	milk
0460501038221	frozen vegetables
0460501038856	frozen vegetables
0460501038856	coffee
0460501038948	coke
0460501039167	pasta
0460501041023	tunny
0460501041023	tomato souce
0460501041023	pasta
0460501041023	mozzarella
0460501042389	beer
0460501044970	frozen fish
0460501044970	pasta
0460501044970	pasta
0460501045199	water
0460501045960	coke
0460501045960	milk
0460501045960	milk
0460501045960	juices
0460501045960	coffee
0460501045960	pasta
0460501047254	coke
0460501047254	biscuits
0460501047254	biscuits
0460501047353	frozen vegetables
0460501048299	milk
0460501048299	frozen vegetables
0460501048299	beer
0460501048411	milk
0460501048411	water
0460501050094	frozen vegetables
0460501050094	milk
0460501050780	pasta
0460501050780	milk
0460501050780	biscuits
0460501050834	biscuits
0460501051084	coke
0460501051084	beer
0460501051084	pasta
0460501051084	pasta
0460501051084	water
0460501051169	milk
0460501051169	yoghurt
0460501051169	coffee
0460501051169	pasta
0460501051169	tunny
0460501051527	yoghurt
0460501051527	yoghurt
0460501051527	milk
0460501051527	pasta
0460501051527	tomato souce
0460501051527	milk
0460501054344	milk
0460501054344	milk
0460501054344	frozen fish
0460501054344	frozen vegetables
0460501054344	milk
0460501054344	pasta
0460501054344	tomato souce
0460501054344	tomato souce
0460501054344	frozen vegetables
0460501054344	tunny
0460501054344	coffee
0460501054344	pasta
0460501054344	pasta
0460501054344	pasta
0460501054344	pasta
0460501054344	pasta
0460501054344	pasta
0460501054344	pasta
0460501054344	biscuits
0460501054344	pasta
0460501054757	tomato souce
0460501054757	milk
0460501054757	crackers
0460501054757	pasta
0460501054757	juices
0460501054757	juices
0460501055013	tunny
0460501056195	beer
0460501057093	milk
0460501057109	biscuits
0460501057109	coffee
0460501057130	biscuits
0460501057253	milk
0460501057253	yoghurt
0460501057789	frozen vegetables
0460501057789	milk
0460501057789	pasta
0460501057949	frozen vegetables
0460501058663	beer
0460501058663	beer
0460501058816	yoghurt
0460501059721	biscuits
0460501060017	milk
0460501060017	beer
0460501060017	coffee
0460501060017	yoghurt
0460501060017	yoghurt
0460501060505	coke
0460501060505	milk
0460501060505	water
0460501061359	biscuits
0460501061847	milk
0460501061847	coffee
0460501061847	milk
0460501061847	biscuits
0460501061847	biscuits
0460501062806	milk
0460501063049	water
0460501063049	water
0460501063049	water
0460501063049	coke
0460501063049	milk
0460501063070	milk
0460501063070	frozen vegetables
0460501063070	ice cream
0460501063070	biscuits
0460501063414	rice
0460501063414	water
0460501065579	milk
0460501065579	biscuits
0460501065579	biscuits
0460501065630	yoghurt
0460501065630	yoghurt
0460501065883	milk
0460501065883	frozen vegetables
0460501065883	pasta
0460501065883	pasta
0460501065883	pasta
0460501065883	milk
0460501065883	beer
0460501066712	coke
0460501066712	milk
0460501066712	milk
0460501066712	coffee
0460501066712	pasta
0460501066712	yoghurt
0460501066712	milk
0460501066712	biscuits
0460501067368	yoghurt
0460501069010	yoghurt
0460501069393	milk
0460501069393	pasta
0460501069775	pasta
0460501069775	pasta
0460501069775	pasta
0460501070023	milk
0460501070023	milk
0460501070023	biscuits
0460501070153	milk
0460501070207	pasta
0460501070207	pasta
0460501070405	tunny
0460501070405	coffee
0460501070405	water
0460501070405	oil
0460501070429	milk
0460501070429	coffee
0460501073017	beer
0460501073017	pasta
0460501073017	milk
0460501073017	water
0460501074496	pasta
0460501075073	frozen fish
0460501075073	juices
0460501075073	yoghurt
0460501076445	rice
0460501076445	tomato souce
0460501076704	beer
0460501076704	milk
0460501077176	water
0460501077176	water
0460501077336	water
0460501077336	biscuits
0460501077336	beer
0460501077336	milk
0460501077336	pasta
0460501077336	milk
0460501077336	biscuits
0460501077336	biscuits
0460501077794	water
0460501077794	milk
0460501077794	tunny
0460501077794	coffee
0460501077794	pasta
0460501077794	tomato souce
0460501077794	water
0460501078876	beer
0460501078876	milk
0460501078876	biscuits
0460501079521	water
0460501079521	frozen fish
0460501079521	milk
0460501079521	pasta
0460501079521	pasta
0460501079521	brioches
0460501079637	water
0460501079637	milk
0460501079637	milk
0460501079637	frozen fish
0460501079637	frozen fish
0460501079866	milk
0460501079866	beer
0460501080985	water
0460501080985	biscuits
0460501080985	biscuits
0460501081241	milk
0460501081241	beer
0460501081241	milk
0460501082644	water
0460501082644	yoghurt
0460501082644	frozen fish
0460501082644	tunny
0460501082705	water
0460501082873	water
0460501084068	milk
0460501084068	frozen fish
0460501085706	milk
0460501085706	brioches
0460501085713	biscuits
0460501085713	biscuits
0460501087090	water
0460501087588	yoghurt
0460501087588	coffee
0460501087588	pasta
0460501087588	beer
0460501088080	coke
0460501088080	milk
0460501088080	pasta
0460501088707	biscuits
0460501088929	frozen vegetables
0460501089377	beer
0460501089377	milk
0460501089964	biscuits
0460501089964	brioches
0460501090250	frozen fish
0460501090847	milk
0460501091004	frozen vegetables
0460501091004	frozen vegetables
